time,v(1),i(V1),v(X0.q)
2.4628000e-02,3.0825094e-01,-1.1920601e-06,3.0412724e-08
2.4728000e-02,3.0949250e-01,-1.1915472e-06,3.0531904e-08
2.4828000e-02,3.1073394e-01,-1.1910349e-06,3.0651034e-08
2.4928000e-02,3.1197526e-01,-1.1905183e-06,3.0770111e-08
2.5028000e-02,3.1321645e-01,-1.1900023e-06,3.0889137e-08
2.5128000e-02,3.1445752e-01,-1.1894820e-06,3.1008111e-08
2.5228000e-02,3.1569847e-01,-1.1889623e-06,3.1127034e-08
2.5328000e-02,3.1693929e-01,-1.1884383e-06,3.1245904e-08
2.5428000e-02,3.1817998e-01,-1.1879149e-06,3.1364721e-08
2.5528000e-02,3.1942055e-01,-1.1873873e-06,3.1483486e-08
2.5628000e-02,3.2066100e-01,-1.1868602e-06,3.1602199e-08
2.5728000e-02,3.2190131e-01,-1.1863289e-06,3.1720858e-08
2.5828000e-02,3.2314150e-01,-1.1857981e-06,3.1839465e-08
2.5928000e-02,3.2438156e-01,-1.1852632e-06,3.1958018e-08
2.6028000e-02,3.2562150e-01,-1.1847288e-06,3.2076517e-08
2.6128000e-02,3.2686130e-01,-1.1841903e-06,3.2194963e-08
2.6228000e-02,3.2810098e-01,-1.1836522e-06,3.2313355e-08
2.6328000e-02,3.2934053e-01,-1.1831100e-06,3.2431694e-08
2.6428000e-02,3.3057995e-01,-1.1825683e-06,3.2549977e-08
2.6528000e-02,3.3181923e-01,-1.1820225e-06,3.2668207e-08
2.6628000e-02,3.3305839e-01,-1.1814772e-06,3.2786382e-08
2.6728000e-02,3.3429741e-01,-1.1809278e-06,3.2904502e-08
2.6828000e-02,3.3553630e-01,-1.1803789e-06,3.3022568e-08
2.6928000e-02,3.3677506e-01,-1.1798258e-06,3.3140578e-08
2.7028000e-02,3.3801369e-01,-1.1792733e-06,3.3258533e-08
2.7128000e-02,3.3925218e-01,-1.1787167e-06,3.3376432e-08
2.7228000e-02,3.4049054e-01,-1.1781606e-06,3.3494276e-08
2.7328000e-02,3.4172877e-01,-1.1776004e-06,3.3612064e-08
2.7428000e-02,3.4296686e-01,-1.1770408e-06,3.3729796e-08
2.7528000e-02,3.4420481e-01,-1.1764770e-06,3.3847472e-08
2.7628000e-02,3.4544263e-01,-1.1759138e-06,3.3965092e-08
2.7728000e-02,3.4668032e-01,-1.1753464e-06,3.4082655e-08
2.7828000e-02,3.4791786e-01,-1.1747797e-06,3.4200161e-08
2.7928000e-02,3.4915527e-01,-1.1742088e-06,3.4317610e-08
2.8028000e-02,3.5039254e-01,-1.1736385e-06,3.4435003e-08
2.8128000e-02,3.5162967e-01,-1.1730641e-06,3.4552338e-08
2.8228000e-02,3.5286667e-01,-1.1724902e-06,3.4669616e-08
2.8328000e-02,3.5410352e-01,-1.1719123e-06,3.4786836e-08
2.8428000e-02,3.5534023e-01,-1.1713349e-06,3.4903998e-08
2.8528000e-02,3.5657681e-01,-1.1707535e-06,3.5021103e-08
2.8628000e-02,3.5781324e-01,-1.1701726e-06,3.5138149e-08
2.8728000e-02,3.5904953e-01,-1.1695877e-06,3.5255137e-08
2.8828000e-02,3.6028568e-01,-1.1690033e-06,3.5372066e-08
2.8928000e-02,3.6152169e-01,-1.1684149e-06,3.5488937e-08
2.9028000e-02,3.6275756e-01,-1.1678270e-06,3.5605749e-08
2.9128000e-02,3.6399328e-01,-1.1672351e-06,3.5722502e-08
2.9228000e-02,3.6522886e-01,-1.1666438e-06,3.5839196e-08
2.9328000e-02,3.6646429e-01,-1.1660484e-06,3.5955831e-08
2.9428000e-02,3.6769958e-01,-1.1654536e-06,3.6072406e-08
2.9528000e-02,3.6893472e-01,-1.1648548e-06,3.6188922e-08
2.9628000e-02,3.7016972e-01,-1.1642566e-06,3.6305377e-08
2.9728000e-02,3.7140457e-01,-1.1636543e-06,3.6421773e-08
2.9828000e-02,3.7263928e-01,-1.1630526e-06,3.6538108e-08
2.9928000e-02,3.7387384e-01,-1.1624469e-06,3.6654383e-08
