time,v(i1),v(X0.Q),v(X0.x)
1.3021550e-05,-1.2194667e+00,-9.8605589e-11,8.0859599e-11
1.3031550e-05,-1.2222047e+00,-9.8466937e-11,8.0565014e-11
1.3041550e-05,-1.2249306e+00,-9.8323362e-11,8.0268516e-11
1.3051550e-05,-1.2276444e+00,-9.8174866e-11,7.9970115e-11
1.3061550e-05,-1.2303461e+00,-9.8021453e-11,7.9669818e-11
1.3071550e-05,-1.2330357e+00,-9.7863127e-11,7.9367635e-11
1.3081550e-05,-1.2357131e+00,-9.7699892e-11,7.9063573e-11
1.3091550e-05,-1.2383783e+00,-9.7531753e-11,7.8757641e-11
1.3101550e-05,-1.2410313e+00,-9.7358714e-11,7.8449847e-11
1.3111550e-05,-1.2436720e+00,-9.7180780e-11,7.8140201e-11
1.3121550e-05,-1.2463005e+00,-9.6997958e-11,7.7828711e-11
1.3131550e-05,-1.2489166e+00,-9.6810251e-11,7.7515385e-11
1.3141550e-05,-1.2515204e+00,-9.6617668e-11,7.7200232e-11
1.3151550e-05,-1.2541119e+00,-9.6420213e-11,7.6883260e-11
1.3161550e-05,-1.2566910e+00,-9.6217893e-11,7.6564479e-11
1.3171550e-05,-1.2592577e+00,-9.6010715e-11,7.6243897e-11
1.3181550e-05,-1.2618120e+00,-9.5798687e-11,7.5921523e-11
1.3191550e-05,-1.2643538e+00,-9.5581814e-11,7.5597365e-11
1.3201550e-05,-1.2668831e+00,-9.5360106e-11,7.5271432e-11
1.3211550e-05,-1.2693999e+00,-9.5133571e-11,7.4943733e-11
1.3221550e-05,-1.2719042e+00,-9.4902215e-11,7.4614277e-11
1.3231550e-05,-1.2743960e+00,-9.4666049e-11,7.4283071e-11
1.3241550e-05,-1.2768752e+00,-9.4425080e-11,7.3950127e-11
1.3251550e-05,-1.2793417e+00,-9.4179319e-11,7.3615451e-11
1.3261550e-05,-1.2817957e+00,-9.3928773e-11,7.3279053e-11
1.3271550e-05,-1.2842370e+00,-9.3673453e-11,7.2940941e-11
1.3281550e-05,-1.2866656e+00,-9.3413370e-11,7.2601125e-11
1.3291550e-05,-1.2890815e+00,-9.3148532e-11,7.2259614e-11
1.3301550e-05,-1.2914847e+00,-9.2878950e-11,7.1916416e-11
1.3311550e-05,-1.2938752e+00,-9.2604637e-11,7.1571540e-11
1.3321550e-05,-1.2962528e+00,-9.2325601e-11,7.1224995e-11
1.3331550e-05,-1.2986177e+00,-9.2041855e-11,7.0876790e-11
1.3341550e-05,-1.3009698e+00,-9.1753411e-11,7.0526935e-11
1.3351550e-05,-1.3033090e+00,-9.1460279e-11,7.0175437e-11
1.3361550e-05,-1.3056354e+00,-9.1162473e-11,6.9822306e-11
1.3371550e-05,-1.3079489e+00,-9.0860005e-11,6.9467552e-11
1.3381550e-05,-1.3102494e+00,-9.0552887e-11,6.9111183e-11
1.3391550e-05,-1.3125371e+00,-9.0241133e-11,6.8753207e-11
